count,table_name,field_name,language,has_record_id,has_record_sub_id,has_field_value,feed_id
9,trips,trip_headsign,ja,false,false,true,f-gtfs~jp
2,stops,川島バイパス,ja,false,false,false,f-gtfs~sabae~jp
1,stops,stop_code,ja-Hrkt,false,false,true,f-gtfs~mb~jp
22,stops,stop_name,en,true,false,false,f-inbe~jp
74,stops,stop_name,en,false,false,true,f-13~jp
10,routes,route_long_name,zh-Hans,false,false,true,f-gtfs~jp
2,stops,横越,ja-Hrkt,false,false,false,f-gtfs~sabae~jp
2,stops,川島バイパス,en,false,false,false,f-gtfs~sabae~jp
8,trips,trip_headsign,en,false,false,true,f-u6x-turunlinja~autoilijainosakeyhtiö~savonlinjaoy~sl~autolinja
1,agency,agency_name,ja-Hrkt,true,false,false,f-inbe~jp
1,agency,agency_name,en,true,false,false,f-seisankanko~gtfs~jp
1,agency,agency_name,ja-Hrkt,true,false,false,f-nagakute~nbus~gtfs~current~data~jp
22,stops,stop_name,ja,false,false,true,f-5000020473278~jp
1,stops,神中児童センター,en,false,false,false,f-gtfs~sabae~jp
4,stop_times,stop_headsign,en,false,false,true,f-watarai~gtfs~jp
5,routes,route_short_name,ja-Hrkt,false,false,true,f-gtfs~jp~nbaux~gunma~jp~jp
98,stops,stop_name,en,true,false,false,f-makubetsucho~com~jp
205,stops,stop_name,ja-Hrkt,true,true,false,f-gtfs~eniwashi~com~jp
4,routes,route_long_name,zh-Hant,false,false,true,f-10~jp
11,routes,route_long_name,ja-Hrkt,false,false,true,f-kaigan~bus~jp
220,stop_times,stop_headsign,ko,true,true,false,f-sharicho~com~jp
1,stops,ＪＲ北鯖江駅西口,en,false,false,false,f-gtfs~sabae~jp
1,agency,agency_name,ja,false,false,true,f-gtfsjp~hokubu~traffic~localbus~jp
1,stops,石田上,ja-Hrkt,false,false,false,f-gtfs~sabae~jp
34,trips,trip_headsign,zh-Hant,true,false,false,f-kutchancho~com~jp
1,routes,route_long_name,en,true,false,false,f-shinshinotsu~kotsu~jp
1,stops,中野町松成,ja-Hrkt,false,false,false,f-gtfs~sabae~jp
1,agency,agency_name,en,false,false,true,f-gtfsjp~nankoku~city~zip~jp
502,stops,stop_name,en,true,false,false,f-bus~kagoshimacity~kagoshima~jp~jp
572,stop_times,stop_headsign,en,true,true,false,f-nayoroshi~com~jp
29,stops,stop_name,ja-Hrkt,false,false,true,f-moritan~bus~jp
1,stops,沢,ja,false,false,false,f-gtfs~sabae~jp
1,agency,agency_name,ja,true,false,false,f-engan~bus~jp
5,routes,route_long_name,zh-Hant,true,false,false,f-shibetsu~kido~jp
1,agency,agency_name,ja-Hrkt,true,false,false,f-hida~gtfs~jp
348,stops,stop_name,en,true,false,false,f-kuwana~gtfs~jp
35,stops,stop_name,zh-Hant,true,false,false,f-easthokkaido~expressbus~jp
240,stops,stop_name,ja-Hrkt,false,false,true,f-bus~ogacity~2~jp
2,stops,吉谷,en,false,false,false,f-gtfs~sabae~jp
2,routes,route_long_name,en,true,false,false,f-tsukigatacho~com~jp
1,agency,agency_name,ja-Latn,false,false,true,f-gtfsjp~seinan~localbus~jp
1,agency,agency_name,ja-Hrkt,true,false,false,f-gtfsjp~konan~city~jp
1,stops,別所口,ja,false,false,false,f-gtfs~sabae~jp
3,routes,route_long_name,ja-HrKt,true,false,false,f-tobetsucho~com~jp
3,routes,route_long_name,ja,false,false,true,f-mihama~bus~jp
1,agency,agency_name,en,true,false,false,f-joutetsu~jp
20,trips,trip_headsign,zh-Hans,true,false,false,f-kitamishi~com~jp
1,routes,route_long_name,ja-HrKt,true,false,false,f-memurocho~com~jp
27,stops,stop_name,ja-Hrkt,false,false,true,f-simizu~bus~jp
1,stops,JA鯖江北支店（下杉本）,ja,false,false,false,f-gtfs~sabae~jp
1,agency,agency_name,en,true,false,false,f-toki~gtfs~jp
5,stop_times,stop_headsign,en,false,false,true,f-higashi~izumo~jp
2,stops,柳町３丁目,ja,false,false,false,f-gtfs~sabae~jp
1,stops,うるしの里会館,ja-Hrkt,false,false,false,f-gtfs~sabae~jp
30,stops,stop_name,en,false,false,true,f-gtfs~hokan~takeyakotsu~jp
1,stops,新町,ja-Hrkt,false,false,false,f-gtfs~sabae~jp
54,stops,stop_name,en,true,false,false,f-shinshinotsu~kotsu~jp
1,agency,agency_name,ko,true,false,false,f-syari~bus~jp
1,stops,鯖江村田製作所前（御幸東）,ja,false,false,false,f-gtfs~sabae~jp
14,trips,trip_headsign,ja-HrKt,true,false,false,f-makubetsucho~com~jp
160,stops,stop_name,zh-Hant,false,false,true,f-11~jp
551,stops,stop_name,ja-Hrkt,true,false,false,f-gtfs~ryujin~jp
435,stops,stop_name,ja,true,false,false,f-hokumon~bus~jp
2804,trips,trip_headsign,el,true,false,false,f-osypa~pafos~cy
45,stops,stop_name,zh-Hans,true,false,false,f-nayoroshi~com~jp
1,agency,agency_name,ja-Hrkt,true,false,false,f-f1601102~jp
6,calendar,service_id,pt-BR,true,false,false,f-bhtrans~suplementar
96,stops,stop_name,ja-Hrkt,false,false,true,f-401005~odekakekotsugtfs~omadobaru~jp
1,agency,agency_name,ja-Hrkt,true,false,false,f-gtfsjp~geisei~village~jp
1,agency,agency_name,zh-Hant,true,false,false,f-hokkaido~bus~jp
43,stops,stop_name,ja-Hrkt,true,false,false,f-kashima~jp
1,stops,めがね会館,ja,false,false,false,f-gtfs~sabae~jp
1,stops,西大井,ja,false,false,false,f-gtfs~sabae~jp
24,stop_times,stop_headsign,en,false,false,true,f-ise~gtfs~jp
111,stops,stop_name,en,false,false,true,f-10~jp
1,stops,田村,en,false,false,false,f-gtfs~sabae~jp
3,routes,route_long_name,sv,true,false,false,f-vaasa~fi
1299,trips,trip_headsign,en,true,false,false,f-2~jp
2,stops,stop_name,en,true,false,false,f-gtfsjp~pref~ferry~jp
1,stops,西番,ja,false,false,false,f-gtfs~sabae~jp
2,stops,磯部,en,false,false,false,f-gtfs~sabae~jp
1,stops,市役所,en,false,false,false,f-gtfs~sabae~jp
1,agency,agency_name,ja,true,false,false,f-abiracho~com~jp
96,stops,stop_name,ja-Hrkt,false,false,true,f-401005~odekakekotsugtfs~okura~jp
209,stops,stop_name,ja-Hrkt,false,false,true,f-gtfs~jp~nbaux~gunma~jp~jp
50,trips,trip_headsign,ja,true,false,false,f-saromacho~com~zip~jp
107,trips,trip_headsign,ja,true,false,false,f-engan~bus~jp
43,stops,stop_name,ko,true,false,false,f-shihorocho~com~jp
1,routes,route_long_name,ja-HrKt,true,false,false,f-otofukecho~com~jp
4,stops,stop_name,en,false,false,true,f-wyp-unobus~宇野自動車株式会社
7,trips,trip_headsign,ko,true,false,false,f-okoppecho~com~jp
36,routes,route_long_name,ko,true,false,false,f-bus~kagoshimacity~kagoshima~jp~jp
14,stops,stop_name,en,false,false,true,f-gtfs~aibus~jp
424,stops,stop_name,ko,true,false,false,f-sorachi~chuo~bus~jp
9,trips,trip_headsign,en,false,false,true,f-gtfs~jp
55,stops,stop_name,ja-Hrkt,false,false,true,f-togo~bus~jp
1130,stops,stop_name,ja-Hrkt,false,false,true,f-gtfs~jp~sendaicitybus~current~data~jp
2,stops,かがやき前（旭町４丁目）,ja,false,false,false,f-gtfs~sabae~jp
1,agency,agency_name,zh-Hans,true,false,false,f-okoppecho~com~jp
2,stops,stop_name,ja-Latn,false,false,true,f-gtfsjp~kvca~my~yubus~jp
1,stops,文殊山の里片上　片上公民館,en,false,false,false,f-gtfs~sabae~jp
1,stops,舟津町４丁目,ja-Hrkt,false,false,false,f-gtfs~sabae~jp
78,stops,stop_name,ko,true,false,false,f-tobetsucho~com~jp
9,stops,stop_name,en,false,false,true,f-gtfsjp~seinan~trolleybus~jp
78,stops,stop_name,ko,true,false,false,f-shiraoicho~com~jp
973,stops,stop_name,en,true,false,false,f-gifu~gtfs~jp
1,routes,route_long_name,ja,true,false,false,f-otofukecho~com~jp
473,stop_times,stop_headsign,ko,true,true,false,f-saromacho~com~zip~jp
168,routes,route_long_name,ja,false,false,true,f-dohoku~bus~jp
105,stops,stop_name,ja,true,false,false,f-sorachi~kotsu~jp
1,stops,上戸口,ja,false,false,false,f-gtfs~sabae~jp
1,stops,神明苑,en,false,false,false,f-gtfs~sabae~jp
1,agency,agency_name,ko,true,false,false,f-kutchancho~com~jp
111,stops,stop_name,ko,false,false,true,f-10~jp
1,agency,agency_name,en,true,false,false,f-rankoshicho~com~jp
55,,,ja,false,false,true,f-nishinihonjr~gtfs~jp
2,stops,ＪＵＲＡＫＵ前(水落橋北),en,false,false,false,f-gtfs~sabae~jp
1,routes,route_long_name,ko,true,false,false,f-otofukecho~com~jp
43,stops,stop_name,en,true,false,false,f-shihorocho~com~jp
1,agency,agency_name,ja,true,false,false,f-syari~bus~jp
1,routes,route_long_name,hmn,false,false,true,f-saintpeter~mn~us
1,agency,agency_name,ko,true,false,false,f-meishi~bus~jp
1,agency,agency_name,en,true,false,false,f-fukagawashi~com~jp
1,agency,agency_name,en,false,false,true,f-kitaena~gtfs~jp
1,routes,route_name,en,false,false,true,f-401005~odekakekotsugtfs~okura~jp
427,stops,stop_name,ko,true,false,false,f-hokumon~bus~jp
260,stops,stop_name,ja-HrKt,true,false,false,f-shibetsu~kido~jp
53,stops,stop_name,ja-HrKt,true,false,false,f-rankoshicho~com~jp
19,stops,stop_name,en,false,false,true,f-342114~gtfs~01koikoi~jp
2,routes,route_long_name,zh-Hant,true,false,false,f-shiranukacho~com~jp
